title,price,image
Apple AirTag 4 Pack,$88.99,https://images-na.ssl-images-amazon.com/images/I/71gY9E+cTaS._AC_UL600_SR600,400_.jpg
Apple AirTag,$28.99,https://images-na.ssl-images-amazon.com/images/I/713xuNx00oS._AC_UL600_SR600,400_.jpg
Fire TV Stick 4K. streaming device with Alexa. vibrant 4K picture quality. TV and smart home controls. free and live TV,$24.99,https://images-na.ssl-images-amazon.com/images/I/41GYmjbeVSL._AC_UL600_SR600,400_.jpg
Fire TV Stick 4K Max streaming device. Wi-Fi 6. Alexa Voice Remote (includes TV controls),$26.99,https://images-na.ssl-images-amazon.com/images/I/41Xfz3eizpL._AC_UL600_SR600,400_.jpg
Apple AirPods Pro (2nd Generation) Wireless Earbuds. Up to 2X More Active Noise Cancelling. Adaptive Transparency. Personalized Spatial Audio. MagSafe Charging Case. Bluetooth Headphones for iPhone,$199.00,https://images-na.ssl-images-amazon.com/images/I/61f1YfTkTDL._AC_UL600_SR600,400_.jpg
Apple AirPods (2nd Generation) Wireless Earbuds with Lightning Charging Case Included. Over 24 Hours of Battery Life. Effortless Setup. Bluetooth Headphones for iPhone,$99.00,https://images-na.ssl-images-amazon.com/images/I/61Zh467pKjL._AC_UL600_SR600,400_.jpg
Fire TV Stick with Alexa Voice Remote (includes TV controls). free & live TV without cable or satellite. HD streaming device,$39.99,https://images-na.ssl-images-amazon.com/images/I/51TjJOTfslL._AC_UL600_SR600,400_.jpg
Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music. Phone Calls. and Volume. Wired Earbuds for iPhone,$16.99,https://images-na.ssl-images-amazon.com/images/I/41-aexp44tL._AC_UL600_SR600,400_.jpg
Sony ZX Series Wired On-Ear Headphones. Black MDR-ZX110,null,https://images-na.ssl-images-amazon.com/images/I/71ZC0hq5mGL._AC_UL600_SR600,400_.jpg
Apple iPad (9th Generation): with A13 Bionic chip. 10.2-inch Retina Display. 64GB. Wi-Fi. 12MP front/8MP Back Camera. Touch ID. All-Day Battery Life – Space Gray,$269.99,https://images-na.ssl-images-amazon.com/images/I/61NGnpjoRDL._AC_UL600_SR600,400_.jpg
